,p_class,s_class,t_class
0,birthday_celebration,kids_birthday,other_kids_birthday_party
1,personal,celebrating_baby_kids_or_parents_to_be,baby_shower_or_new_baby_related_event
2,greetings,other_holiday_cards,valentines
3,birthday_celebration,kids_birthday,teen_13_18_birthday_party
4,greetings,other_holiday_cards,mothers_day
5,birthday_celebration,kids_birthday,little_kids_2_7_birthday_party
6,personal,adult_or_family_events,sports_or_viewing_party
7,wedding_related,parties_and_showers_in_honor_of_the_bride_&_groom,bachelorette_or_hen_party
8,personal,other_holiday_events,halloween
9,organizations,business_or_nonprofits,holiday_party
10,greetings,everyday_greetings,congrats
11,personal,adult_or_family_events,other_general_party
12,greetings,everyday_greetings,thank_you
13,birthday_celebration,adult_birthday,adult_milestone_birthday_party
14,wedding_related,parties_and_showers_in_honor_of_the_bride_&_groom,wedding_shower
15,personal,seasonal_holiday_events,christmas
16,organizations,alumni_or_school_related,reunion
18,personal,adult_or_family_events,housewarming
19,other,foreign_language,foreign_language
20,greetings,everyday_greetings,other_everyday_greeting
21,organizations,alumni_or_school_related,other_alumni_or_school_related_event
22,birthday_celebration,adult_birthday,other_adult_birthday_party
23,greetings,seasonal_holiday_cards,christmas
26,personal,adult_or_family_events,general_party_food_and_drinks
28,birthday_celebration,kids_birthday,tween_8_12_birthday_party
33,personal,adult_or_family_events,graduation
35,wedding_related,wedding_events_hosted_by_bride_groom_or_family,other_wedding_event
36,organizations,business_or_nonprofits,trunk_show_or_shopping_or_marketing_event
37,greetings,other_holiday_cards,fathers_day
38,greetings,seasonal_holiday_cards,holiday
40,greetings,everyday_greetings,birthday
47,wedding_related,wedding_events_hosted_by_bride_groom_or_family,wedding_invitation
48,organizations,business_or_nonprofits,grand_opening_or_launch
53,greetings,everyday_greetings,get_well
59,birthday_celebration,kids_birthday,1st_birthday_party
67,organizations,alumni_or_school_related,sorority_or_fraternity_event
80,wedding_related,save_the_date,wedding_save_the_date
81,birthday_celebration,general,general_birthday_party
83,organizations,business_or_nonprofits,reception_or_party
84,wedding_related,wedding_events_hosted_by_bride_groom_or_family,rehearsal_event
93,personal,adult_or_family_events,farewell_or_moving
95,personal,seasonal_holiday_events,holiday
99,wedding_related,parties_and_showers_in_honor_of_the_bride_&_groom,engagement_party
108,personal,seasonal_holiday_events,themed_holiday_party
110,personal,celebrating_baby_kids_or_parents_to_be,other_baby_or_kids_party
111,greetings,everyday_greetings,love_or_just_because
138,personal,other_holiday_events,easter
139,personal,celebrating_baby_kids_or_parents_to_be,religious_ceremony
147,personal,other_holiday_events,thanksgiving
149,birthday_celebration,kids_birthday,sweet_16
150,organizations,business_or_nonprofits,meeting_or_conference
229,organizations,business_or_nonprofits,other_business_or_nonprofit_event
238,organizations,business_or_nonprofits,fundraiser_or_charity_event
265,personal,adult_or_family_events,anniversary
273,wedding_related,wedding_related_other,other_wedding_related
302,greetings,seasonal_holiday_cards,new_years
303,wedding_related,wedding_related_other,wedding_thank_you
313,personal,adult_or_family_events,retirement
319,organizations,business_or_nonprofits,gala_or_benefit
363,organizations,alumni_or_school_related,faculty_or_staff_event
368,greetings,seasonal_holiday_cards,corporate_or_organization_holiday_card
385,personal,celebrating_baby_kids_or_parents_to_be,bar_or_bat_mitzvah
388,greetings,other_holiday_cards,st_patricks_day
480,greetings,everyday_greetings,apology
481,personal,other_holiday_events,valentines
487,personal,other_holiday_events,hanukkah
491,personal,other_holiday_events,other_us_holiday
504,personal,seasonal_holiday_events,new_years
538,wedding_related,parties_and_showers_in_honor_of_the_bride_&_groom,bachelor_or_stag_party
553,greetings,everyday_greetings,anniversary
555,personal,other_holiday_events,mothers_day
556,personal,other_holiday_events,4th_of_july
565,wedding_related,wedding_events_hosted_by_bride_groom_or_family,wedding_weekend_invite
566,wedding_related,wedding_events_hosted_by_bride_groom_or_family,night_before_drinks
637,greetings,other_holiday_cards,thanksgiving
680,greetings,everyday_greetings,condolences
694,organizations,business_or_nonprofits,save_the_date
750,wedding_related,wedding_events_hosted_by_bride_groom_or_family,day_after_wedding_event
770,personal,adult_or_family_events,friends_or_family_reunion
801,personal,adult_or_family_events,shabbat
969,greetings,other_holiday_cards,easter
1069,personal,other_holiday_events,other_jewish_holiday
1073,organizations,business_or_nonprofits,volunteer_event
1078,greetings,other_holiday_cards,4th_of_july
1229,greetings,everyday_greetings,good_luck
1284,personal,other_holiday_events,fathers_day
1301,personal,announcements_personal,other_announcement
1363,personal,adult_or_family_events,memorial_or_funeral
1395,greetings,other_holiday_cards,other_jewish_holiday
1722,personal,announcements_personal,moving_announcement
1812,personal,other_holiday_events,passover
1826,greetings,other_holiday_cards,hanukkah
1846,birthday_celebration,kids_birthday,quinceanera
2071,greetings,other_holiday_cards,halloween
2132,greetings,other_holiday_cards,other_holiday_card
2311,wedding_related,parties_and_showers_in_honor_of_the_bride_&_groom,other_party_or_shower
2427,personal,announcements_personal,birth_announcement
2669,other,other,other
2848,personal,other_holiday_events,other_holiday_event
3101,personal,other_holiday_events,st_patricks_day
3978,personal,other_holiday_events,other_indian_holiday
4159,greetings,other_holiday_cards,other_indian_holiday
6729,personal,other_holiday_events,other_muslim_holiday
7350,greetings,other_holiday_cards,other_uk_holiday
7560,wedding_related,announcements_wedding_related,marriage_announcement
8316,personal,other_holiday_events,other_uk_holiday
9167,other,address_collection,address_collection
10418,personal,other_holiday_events,chinese_new_year
11111,wedding_related,announcements_wedding_related,engagement_announcement
13294,greetings,other_holiday_cards,other_muslim_holiday
